image_path,soil_type,moisture_pct,ph_value,gsm,texture_energy,texture_contrast,texture_homogeneity,texture_entropy,edge_density,color_mean_h,color_std_h,color_mean_s,color_std_s,color_mean_v,color_std_v,red_mean,green_mean,blue_mean,contrast_rms,count,density,size_mean,size_std,mobilenet_feat_mean,mobilenet_feat_std,mobilenet_feat_max
C:\Users\jethv\.cache\kagglehub\datasets\thedecoders\testasasdw\versions\3\Soil_Dataset\alluvial\01060602previewen-02b.jpg,loam,,,,0.005015063099563122,181.07936096191406,0.38880929350852966,10.144380569458008,0.7719427347183228,0.2788078188896179,0.2868560552597046,0.5174789428710938,0.21235358715057373,0.6630235910415649,0.31272727251052856,0.4848657250404358,0.4369617700576782,0.48635461926460266,0.2239137440919876,3515.0,700.5341186523438,1.0,25.523700714111328,0.1509680598974228,0.3738286793231964,2.7165493965148926
C:\Users\jethv\.cache\kagglehub\datasets\thedecoders\testasasdw\versions\3\Soil_Dataset\alluvial\01060602previewen-02d.jpg,loam,,,,0.0011519647669047117,109.35786437988281,0.2611144781112671,10.437546730041504,0.9488002061843872,0.11962857842445374,0.07830249518156052,0.4042516350746155,0.17476752400398254,0.49209439754486084,0.189253032207489,0.486072301864624,0.4299720525741577,0.31511855125427246,0.19481711089611053,220.0,43.84566116333008,1.0,6.607073783874512,0.16818708181381226,0.3321962356567383,1.946171522140503
C:\Users\jethv\.cache\kagglehub\datasets\thedecoders\testasasdw\versions\3\Soil_Dataset\alluvial\1.jpg,loam,,,,0.0011299016186967492,99.65299987792969,0.24585585296154022,10.353835105895996,0.9595423936843872,0.09324350953102112,0.12853360176086426,0.5583544969558716,0.14779867231845856,0.46772196888923645,0.20118018984794617,0.4676908850669861,0.33373817801475525,0.21449816226959229,0.17315815389156342,1655.0,329.8389587402344,1.0,17.85944175720215,0.051954250782728195,0.17305085062980652,1.9493954181671143
C:\Users\jethv\.cache\kagglehub\datasets\thedecoders\testasasdw\versions\3\Soil_Dataset\alluvial\10.jpg,loam,,,,0.006160357967019081,10.650033950805664,0.5019130706787109,8.35830020904541,0.7435028553009033,0.0906907320022583,0.014473753049969673,0.6447473764419556,0.09665138274431229,0.6053405404090881,0.14152973890304565,0.6053402423858643,0.4334350824356079,0.22564847767353058,0.1341877579689026,576.0,114.79591369628906,1.0,10.652609825134277,0.05443480610847473,0.21851569414138794,2.203432083129883
C:\Users\jethv\.cache\kagglehub\datasets\thedecoders\testasasdw\versions\3\Soil_Dataset\alluvial\100.jpg,loam,,,,0.002799129579216242,29.51807403564453,0.31923407316207886,8.990087509155273,0.8806202411651611,0.07940367609262466,0.00492277555167675,0.5118275284767151,0.060179103165864944,0.7890060544013977,0.11633522063493729,0.7890060544013977,0.5794927477836609,0.3877858519554138,0.1026497334241867,0.0,0.0,0.0,0.0,0.04927594214677811,0.2036333531141281,2.2411530017852783
C:\Users\jethv\.cache\kagglehub\datasets\thedecoders\testasasdw\versions\3\Soil_Dataset\alluvial\1000_F_240425429_YL91trtDxXQl8L0OKP7zyngeSb63olAC.jpg,loam,,,,0.0005602354649454355,284.66925048828125,0.15609033405780792,11.154423713684082,0.9898955821990967,0.11259549111127853,0.11486151069402695,0.41754406690597534,0.07425585389137268,0.5993700623512268,0.24776534736156464,0.5992838144302368,0.4965369999408722,0.35178664326667786,0.21568666398525238,546.0,108.81696319580078,1.0,10.374625205993652,0.06275121867656708,0.22827716171741486,2.0056283473968506
C:\Users\jethv\.cache\kagglehub\datasets\thedecoders\testasasdw\versions\3\Soil_Dataset\alluvial\101.jpg,loam,,,,0.001946900854818523,66.6650390625,0.2577334940433502,9.672842025756836,0.9480229616165161,0.10587882250547409,0.010341768153011799,0.3910144865512848,0.08445695042610168,0.6805745363235474,0.12490510940551758,0.6805696487426758,0.5871469378471375,0.42283767461776733,0.12448613345623016,222.0,44.244258880615234,1.0,6.636904239654541,0.07291032373905182,0.23327957093715668,2.1974852085113525
C:\Users\jethv\.cache\kagglehub\datasets\thedecoders\testasasdw\versions\3\Soil_Dataset\alluvial\103.jpg,loam,,,,0.0012879753485321999,168.1627655029297,0.2269160896539688,10.454240798950195,0.9625717401504517,0.10537634789943695,0.02982284501194954,0.35115697979927063,0.1137404516339302,0.7024800777435303,0.1892479658126831,0.7022740840911865,0.6168078184127808,0.47178903222084045,0.18222519755363464,845.0,168.40721130371094,1.0,12.867443084716797,0.2564198076725006,0.5033456087112427,4.29781436920166
C:\Users\jethv\.cache\kagglehub\datasets\thedecoders\testasasdw\versions\3\Soil_Dataset\alluvial\104.jpg,loam,,,,0.0038926091510802507,31.854515075683594,0.33394473791122437,8.708746910095215,0.9215561151504517,0.10989096015691757,0.010172717273235321,0.3889521360397339,0.072847880423069,0.7096616625785828,0.08874067664146423,0.7096266746520996,0.6161379218101501,0.4380204975605011,0.09159897267818451,45.0,8.96843147277832,1.0,2.9933905601501465,0.011516488157212734,0.07368354499340057,1.4047141075134277
C:\Users\jethv\.cache\kagglehub\datasets\thedecoders\testasasdw\versions\3\Soil_Dataset\alluvial\105.jpg,loam,,,,0.0043335468508303165,20.84259796142578,0.3529343008995056,8.494488716125488,0.8995934128761292,0.11378306150436401,0.005600507836788893,0.3043718636035919,0.04599600285291672,0.6899083852767944,0.08560330420732498,0.6899082660675049,0.6240935921669006,0.483062207698822,0.08624770492315292,61.0,12.157206535339355,1.0,3.4845986366271973,0.01757408306002617,0.07724354416131973,1.0664069652557373
